Subject,Start Date,End Date,Start Time,End Time,Description,Location
Partita U14F,15/10/2022,15/10/2022,15:30,17::30,Volley Parella Torino Blu - Basso Canavese Foglizzo,"PALESTRA VIGONE - CAMPO 2 CENTRALE - VIA VIGONE 70, TORINO"
Partita U14F,22/10/2022,22/10/2022,15:30,17::30,Basso Canavese Foglizzo - Lilliput 2010,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,29/10/2022,29/10/2022,15:30,17::30,Pvl Cerealterra - Basso Canavese Foglizzo,"PALESTRA COMUNALE - VIA CAPITANO GATTI, 1, MATHI"
Partita U14F,05/11/2022,05/11/2022,16:00,18::00,Balamunt - Basso Canavese Foglizzo,"PALESTRA COMUNALE SANDRO PERTINI - VIA VITTIME DEI LAGER NAZISTI, 13, LANZO TORINESE"
Partita U14F,12/11/2022,12/11/2022,15:30,17::30,Basso Canavese Foglizzo - Leini V.b.c. Yellow,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,19/11/2022,19/11/2022,15:30,17::30,Basso Canavese Foglizzo - Volley Parella Torino Blu,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,26/11/2022,26/11/2022,18:00,20::00,Lilliput 2010 - Basso Canavese Foglizzo,"ITC 8 MARZO - VIA SAN BENIGNO, 3, SETTIMO TORINESE"
Partita U14F,03/12/2022,03/12/2022,15:30,17::30,Basso Canavese Foglizzo - Pvl Cerealterra,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,10/12/2022,10/12/2022,15:30,17::30,Basso Canavese Foglizzo - Balamunt,"POLIFUNZIONALE EX-SAIFA - VIA S. GIOVANNI BOSCO, FOGLIZZO"
Partita U14F,17/12/2022,17/12/2022,17:30,19::30,Leini V.b.c. Yellow - Basso Canavese Foglizzo,"PALASPORT - PIAZZA DEL DONATORE, 6, BORGARO TORINESE"
